,word,count,log_count
612,inevitable,171,5.14166355650266
613,thrust,111,4.709530201312334
614,purchases,72,4.276666119016055
615,trade,987,6.894670039433482
616,financial,1154,7.050989447068045
617,transactions,85,4.442651256490317
618,carried,502,6.218600119691729
619,revolutionary,139,4.9344739331306915
620,guards,159,5.0689042022202315
621,corps,223,5.407171771460119
622,controls,260,5.560681631015528
623,taken,1979,7.590346945602565
624,central,995,6.902742737158593
625,role,1506,7.317212408359839
626,broader,174,5.159055299214529
627,banks,447,6.102558594613569
628,insurance,873,6.771935555839602
629,industry,1121,7.02197642307216
630,adamant,30,3.4011973816621555
631,affect,418,6.035481432524756
632,economy,1235,7.118826249062078
633,trove,21,3.044522437723423
634,wikileaks,23,3.1354942159291497
635,concern,634,6.452048954437226
636,among,2488,7.81923445385907
637,neighbors,341,5.831882477283517
638,believed,604,6.403574197934815
639,advanced,430,6.063785208687608
640,missiles,58,4.060443010546419
641,north,1532,7.3343293503005365
642,korea,194,5.267858159063328
643,let,7043,8.85978949474541
644,capitals,41,3.713572066704308
645,moscow,188,5.236441962829949
646,provided,895,6.796823718274855
647,detailed,265,5.579729825986222
648,look,7324,8.898911905794401
649,assembled,89,4.48863636973214
650,support,2663,7.887208585813932
651,listed,277,5.6240175061873385
652,seven,1189,7.080867896690782
653,outstanding,143,4.962844630259907
654,raise,583,6.368187186350492
655,turn,2189,7.691200097522863
656,cast,421,6.042632833682381
657,conventional,254,5.537334267018537
658,explosives,42,3.7376696182833684
659,shape,628,6.4425401664681985
660,can,23406,10.060747678734712
661,trigger,173,5.153291594497779
662,blast,127,4.844187086458591
663,spur,37,3.6109179126442243
664,chain,338,5.823045895483019
665,reaction,429,6.061456918928017
666,waves,246,5.5053315359323625
667,nose,376,5.929589143389895
668,cones,24,3.1780538303479458
669,gave,1780,7.484368643286131
670,details,658,6.489204931325317
671,disclosure,112,4.718498871295094
672,centered,151,5.017279836814924
673,rare,382,5.945420608606575
674,form,1509,7.319202458767849
675,element,224,5.4116460518550396
676,heavy,697,6.546785410760524
677,hydrogen,70,4.248495242049359
678,experts,473,6.159095388491933
679,pakistan,233,5.4510384535657
680,appear,618,6.42648845745769
681,kind,3577,8.182279739259018
682,asked,2864,7.9599745280805365
683,involving,253,5.53338948872752
684,compression,30,3.4011973816621555
685,burst,154,5.0369526024136295
686,speeding,69,4.23410650459726
687,particles,122,4.804021044733257
688,split,329,5.796057750765372
689,atoms,78,4.356708826689592
690,two,11391,9.340578848899913
691,surge,98,4.584967478670572
692,initial,413,6.023447592961033
693,needed,1606,7.381501894506707
694,help,5106,8.53817159780143
695,initiate,61,4.110873864173311
696,harold,122,4.804021044733257
697,former,1688,7.431299675155903
698,los,621,6.431331081933479
699,laboratory,166,5.111987788356544
700,suggested,528,6.269096283706261
701,alleged,239,5.476463551931511
702,use,5856,8.675222055641148
703,suggests,466,6.144185634125646
704,connection,471,6.154858094016418
705,abdul,38,3.6375861597263857
706,khan,100,4.605170185988092
707,rogue,64,4.1588830833596715
708,pakistani,59,4.07753744390572
709,engineer,195,5.272999558563747
710,who,23555,10.067093391134142
711,sold,621,6.431331081933479
712,information,3125,8.047189562170502
713,famous,496,6.206575926724928
714,photograph,787,6.668228248417403
715,released,651,6.478509642208569
716,arrest,282,5.641907070938114
717,atom,42,3.7376696182833684
718,blackboard,22,3.091042453358316
719,pointer,32,3.4657359027997265
720,center,2085,7.642524134232902
721,labeled,107,4.672828834461906
722,fresh,804,6.6895992691789665
723,charges,498,6.210600077024653
724,documentary,166,5.111987788356544
725,studies,1120,7.02108396428914
726,removal,141,4.948759890378168
727,high,4727,8.461046030793236
728,payload,21,3.044522437723423
729,replace,333,5.808142489980444
730,standing,875,6.774223886357614
731,feet,1384,7.232733136177615
732,tall,386,5.955837369464831
733,draped,42,3.7376696182833684
734,banners,25,3.2188758248682006
735,reading,1694,7.434847875211999
736,wipe,105,4.653960350157523
737,map,449,6.1070228877422545
738,judgment,313,5.746203190540153
739,decade,572,6.349138991379798
740,struggle,347,5.849324779946859
741,pierce,56,4.02535169073515
742,debate,804,6.6895992691789665
743,allies,200,5.298317366548036
744,whether,2641,7.878912912297133
745,increased,794,6.677083461247136
746,pressure,940,6.84587987526405
747,stop,2643,7.879669914604289
748,significant,1021,6.928537818164665
749,cut,1912,7.555905093611346
750,bank,1015,6.922643891475888
751,commercial,643,6.466144724237619
752,addition,864,6.761572768804055
753,involved,1246,7.1276936993473985
754,industries,209,5.342334251964811
755,adding,398,5.986452005284438
756,existing,412,6.021023349349527
757,seek,416,6.030685260261263
758,weaken,36,3.58351893845611
759,ability,893,6.794586580876499
760,gasoline,137,4.919980925828125
761,invest,168,5.123963979403259
